8	1	## 1. Introduction
10	1.1	### 1.1 Purpose
21	1.2	### 1.2 Status
36	1.3	### 1.3 Design Philosophy
105	1.4	### 1.4 Conventions
166	2	## 2. Type System Foundations
173	2.1	### 2.1 Placeholders
182	2.1.1	#### 2.1.1 Placeholders attach to values, not bindings
196	2.1.2	#### 2.1.2 Resolution at use sites
243	2.1.3	#### 2.1.3 Bindings to concretely-typed expressions
253	2.1.4	#### 2.1.4 Resolution failures
265	2.1.5	#### 2.1.5 Placeholders are compile-time only
272	2.2	### 2.2 Type Inference
278	2.2.1	#### 2.2.1 Inference mechanism
290	2.2.2	#### 2.2.2 Definition-time body checking
310	2.2.3	#### 2.2.3 Implicit and explicit generics are equivalent
347	2.2.4	#### 2.2.4 Trait-based constraints
357	2.2.5	#### 2.2.5 Supplying and inferring generic arguments at call sites
425	2.2.6	#### 2.2.6 Type wildcards
448	2.3	### 2.3 Monomorphization
456	2.3.1	#### 2.3.1 Instantiation granularity
464	2.3.2	#### 2.3.2 Cross-module instantiation
474	2.3.3	#### 2.3.3 Recursion preserves type arguments
489	2.3.4	#### 2.3.4 Dead code elimination
497	2.3.5	#### 2.3.5 Trait method dispatch in monomorphized code
509	2.3.6	#### 2.3.6 Const-generic default expressions
575	2.3.7	#### 2.3.7 Binary size
590	2.4	### 2.4 Compile-Time Evaluation
598	2.4.1	#### 2.4.1 Compile-time-known values
620	2.4.1.1	#### 2.4.1.1 `let` and `const` binding forms
643	2.4.1.2	#### 2.4.1.2 Semantics of `const`
665	2.4.1.3	#### 2.4.1.3 `const`-eligible types
691	2.4.1.4	#### 2.4.1.4 `const` declaration sites
706	2.4.1.5	#### 2.4.1.5 Relationship between `const` and `let`
728	2.4.2	#### 2.4.2 Breaks in propagation
743	2.4.3	#### 2.4.3 Value-fits-type checking
774	2.4.4	#### 2.4.4 Compile-time evaluation as type-level mechanism
793	2.4.5	#### 2.4.5 Negative literal parsing
803	2.4.6	#### 2.4.6 Reactivity provenance in diagnostics
835	2.4.7	#### 2.4.7 Implementation limits
848	2.5	### 2.5 Const-Generic Parameters and Expressions
866	2.5.1	#### 2.5.1 Parameter kinds
879	2.5.2	#### 2.5.2 The concrete case: any compile-time expression
905	2.5.3	#### 2.5.3 The symbolic case: const-generic expressions
950	2.5.4	#### 2.5.4 Canonical form and type identity
978	2.5.5	#### 2.5.5 Inference
1011	2.5.6	#### 2.5.6 Const-generic bounds
1079	2.5.7	#### 2.5.7 Default expressions
1098	3	## 3. Trait System
1111	3.1	### 3.1 Trait Declarations
1141	3.1.1	#### 3.1.1 Method signatures
1172	3.1.2	#### 3.1.2 Associated types
1226	3.1.3	#### 3.1.3 Default method bodies
1244	3.1.4	#### 3.1.4 Super-trait requirements (`requires`)
1296	3.1.5	#### 3.1.5 Trait-level default concrete type
1330	3.1.6	#### 3.1.6 Generic traits
1360	3.1.6.1	##### 3.1.6.1 Default-type-parameter resolution
1381	3.1.7	#### 3.1.7 Required node/connection members (cells, consts, and endpoints)
1491	3.2	### 3.2 Conformance Declarations (`satisfies`)
1527	3.2.1	#### 3.2.1 Satisfied traits must have disjoint method names
1639	3.3	### 3.3 Implementation Blocks (`fulfill`)
1694	3.3.1	#### 3.3.1 Method signatures and `Subject` usage
1753	3.3.2	#### 3.3.2 Associated type bindings
1775	3.3.3	#### 3.3.3 Default-body overriding
1803	3.3.4	#### 3.3.4 Conditional implementations (where clauses)
1830	3.3.5	#### 3.3.5 Pure-requirement traits and automatic satisfaction
1860	3.3.6	#### 3.3.6 Visibility of `fulfill` blocks
1873	3.4	### 3.4 Trait Method Dispatch
1905	3.4.1	#### 3.4.1 Resolution across free-function and trait-implementation namespaces
1967	3.4.1.1	#### 3.4.1.1 Disambiguating generic trait instantiations
2008	3.4.2	#### 3.4.2 Dispatch at monomorphization
2017	3.5	### 3.5 Argument Forms
2024	3.5.1	#### 3.5.1 The two forms
2052	3.5.2	#### 3.5.2 One argument form per call
2066	3.5.3	#### 3.5.3 Per-callable form constraints
2108	3.5.4	#### 3.5.4 Defaults and form interaction
2158	3.5.5	#### 3.5.5 Method calls and the receiver
2184	3.5.6	#### 3.5.6 The `with` expression uses named form
2197	3.5.7	#### 3.5.7 Argument forms in patterns
2209	3.6	### 3.6 Trait Hierarchies
2215	3.6.1	#### 3.6.1 The fine-grained-plus-umbrella pattern
2298	3.6.2	#### 3.6.2 Default trait selection in defaulting
2313	3.7	### 3.7 Coherence and Orphan Rules
2319	3.7.1	#### 3.7.1 The strict orphan rule
2338	3.7.2	#### 3.7.2 Generic-parameter coverage
2356	3.7.3	#### 3.7.3 Language-privileged implementations
2399	3.7.4	#### 3.7.4 Language-defined marker traits
2464	3.7.5	#### 3.7.5 Newtype pattern as orphan-rule workaround
2482	3.8	### 3.8 Automatic Derivation (`@derive`)
2489	3.8.1	#### 3.8.1 Derivable traits
2518	3.8.2	#### 3.8.2 Structural derivation rules
2556	3.8.3	#### 3.8.3 Overriding derived implementations
2565	3.9	### 3.9 Custom Literal Suffixes (`@literal_suffix`)
2596	3.9.1	#### 3.9.1 Annotation grammar
2627	3.9.2	#### 3.9.2 Constructor signature
2653	3.9.3	#### 3.9.3 Resolution
2666	3.9.4	#### 3.9.4 Built-in suffixes
2672	3.9.5	#### 3.9.5 Scope and visibility
2680	4	## 4. Numeric System
2688	4.1	### 4.1 Numeric Primitive Types
2742	4.2	### 4.2 Type Aliases
2778	4.3	### 4.3 Numeric Literals
2782	4.3.1	#### 4.3.1 Integer literals
2815	4.3.2	#### 4.3.2 Float literals
2844	4.3.3	#### 4.3.3 Suffixed-literal forms for non-numeric types
2875	4.3.4	#### 4.3.4 Boolean and character literals
2885	4.4	### 4.4 Operator Semantics
2890	4.4.1	#### 4.4.1 Arithmetic operators
2902	4.4.1.1	##### 4.4.1.1 The `/` operator and integer-to-float promotion
2965	4.4.1.2	##### 4.4.1.2 Other arithmetic operators
2993	4.4.2	#### 4.4.2 Bitwise operators
3039	4.4.3	#### 4.4.3 Comparison operators
3061	4.4.4	#### 4.4.4 Equality operators
3085	4.4.5	#### 4.4.5 Mixed-kind promotion (overview)
3092	4.4.6	#### 4.4.6 Operator-to-inferred-constraint mapping
3156	4.5	### 4.5 Implicit Widening
3166	4.5.1	#### 4.5.1 Integer-to-integer widening
3184	4.5.2	#### 4.5.2 Integer-to-float widening
3200	4.5.3	#### 4.5.3 Float-to-float widening
3211	4.5.4	#### 4.5.4 The i64/u64 → f64 pragmatic exception
3223	4.5.5	#### 4.5.5 What requires explicit cast
3236	4.5.6	#### 4.5.6 Application: mixed-kind operators
3249	4.6	### 4.6 Overflow and Arithmetic Safety
3254	4.6.1	#### 4.6.1 Default trap-on-overflow
3270	4.6.2	#### 4.6.2 Wrapping operators
3299	4.6.3	#### 4.6.3 Saturating operators
3325	4.6.4	#### 4.6.4 Checked operators
3355	4.6.5	#### 4.6.5 Compile-time constant overflow
3373	4.6.6	#### 4.6.6 Float overflow
3388	4.6.7	#### 4.6.7 Integer division by zero
3398	4.7	### 4.7 Explicit Casts
3408	4.7.1	#### 4.7.1 The four conversion variants
3439	4.7.2	#### 4.7.2 Lossless casts
3448	4.7.3	#### 4.7.3 Float-to-integer casts
3458	4.7.4	#### 4.7.4 Trait-based forms
3477	4.7.5	#### 4.7.5 `T(value)` conversion vs. construction
3494	4.8	### 4.8 Special Numeric Operations
3501	4.8.1	#### 4.8.1 General numeric operations
3532	4.8.2	#### 4.8.2 Float-only operations
3559	4.8.3	#### 4.8.3 Power operation
3583	4.8.4	#### 4.8.4 Numeric constants
